task_id,category,screen,route,page_entry,priority,depends_on,requirements,verify,status,wave_id
COMP-GLOBAL-FAVORITE-TOGGLE,COMPONENT,SCR-001,`/`,-,P1,,REQ-FUNC-068,Manual Check,TODO,W01
COMP-GLOBAL-HEADER-FOOTER,COMPONENT,-,전 화면,-,P0,,REQ-FUNC-064; REQ-FUNC-065,Manual Check,TODO,W01
COMP-GLOBAL-POLICY-PAGES,COMPONENT,기술 Route(정적 문서),`/policies/*`,`src/app/policies/terms/page.tsx` 등,P1,,REQ-FUNC-080,Manual Check,TODO,W01
COMP-GLOBAL-SEO,COMPONENT,-,전 화면,-,P1,,REQ-FUNC-070; REQ-NF-030,RELEASE-SEO-CHECK,TODO,W12
COMP-GLOBAL-SHARE-BUTTON,COMPONENT,-,SCR-001/002/004,-,P1,,REQ-FUNC-069,Manual Check,TODO,W01
COMP-GLOBAL-TOAST,COMPONENT,-,전 화면,-,P0,,REQ-FUNC-043,Manual Check,TODO,W01
COMP-SCR001-ABOUT-TEASER,COMPONENT,SCR-001,`/`,-,P1,DATA-REPRESENTATIVE,REQ-FUNC-057,Manual Check,TODO,W04
COMP-SCR001-DEST-DRAWER,COMPONENT,SCR-001,`/`,-,P0,DATA-DESTINATIONS; COMP-SCR001-SAFETY-DRAWER,REQ-FUNC-004; REQ-FUNC-006; REQ-FUNC-007; REQ-FUNC-009,Manual Check,TODO,W05
COMP-SCR001-DOMESTIC-GRID,COMPONENT,SCR-001,`/`,-,P0,DATA-DESTINATIONS; COMP-SCR001-DEST-DRAWER,REQ-FUNC-001,Manual Check,TODO,W05
COMP-SCR001-HERO,COMPONENT,SCR-001,`/`,-,P0,DATA-DESTINATIONS,REQ-FUNC-002; REQ-FUNC-003; REQ-FUNC-005; REQ-FUNC-010; REQ-FUNC-067; REQ-NF-004,Manual Check,TODO,W04
COMP-SCR001-MATE-PREVIEW,COMPONENT,SCR-001,`/`,-,P0,API-MATE-POSTS,,Manual Check,TODO,W04
COMP-SCR001-OVERSEAS-GRID,COMPONENT,SCR-001,`/`,-,P0,DATA-DESTINATIONS; COMP-SCR001-DEST-DRAWER; COMP-SCR001-SAFETY-DRAWER,REQ-FUNC-001,Manual Check,TODO,W05
COMP-SCR001-SAFETY-DRAWER,COMPONENT,SCR-001,`/`,-,P0,DATA-SAFETY,REQ-FUNC-047; REQ-FUNC-048; REQ-FUNC-049; REQ-FUNC-050; REQ-FUNC-051; REQ-FUNC-052; REQ-FUNC-053; REQ-FUNC-054; REQ-NF-028,Manual Check,TODO,W05
COMP-SCR001-SAFETY-GRID,COMPONENT,SCR-001,`/`,-,P0,DATA-SAFETY; COMP-SCR001-SAFETY-DRAWER,REQ-FUNC-047; REQ-FUNC-050,Manual Check,TODO,W05
COMP-SCR001-THEME-CHIPS,COMPONENT,SCR-001,`/`,-,P1,COMP-SCR001-DOMESTIC-GRID; COMP-SCR001-OVERSEAS-GRID,,Manual Check,TODO,W05
COMP-SCR002-COUNTRY-CHIPS,COMPONENT,SCR-002,`/about`,-,P1,DATA-REPRESENTATIVE,REQ-FUNC-059,Manual Check,TODO,W06
COMP-SCR002-GALLERY,COMPONENT,SCR-002,`/about`,-,P1,DATA-REPRESENTATIVE,REQ-FUNC-061,Manual Check,TODO,W06
COMP-SCR002-HERO,COMPONENT,SCR-002,`/about`,-,P0,DATA-REPRESENTATIVE,REQ-FUNC-061,Manual Check,TODO,W06
COMP-SCR002-INTRO-PHILOSOPHY,COMPONENT,SCR-002,`/about`,-,P1,DATA-REPRESENTATIVE,REQ-FUNC-058,Manual Check,TODO,W06
COMP-SCR002-RECOMMENDED,COMPONENT,SCR-002,`/about`,-,P1,DATA-DESTINATIONS; DATA-REPRESENTATIVE,REQ-FUNC-063,Manual Check,TODO,W06
COMP-SCR002-STATS,COMPONENT,SCR-002,`/about`,-,P0,DATA-REPRESENTATIVE,REQ-FUNC-057,Manual Check,TODO,W06
COMP-SCR002-TIMELINE,COMPONENT,SCR-002,`/about`,-,P1,DATA-REPRESENTATIVE,REQ-FUNC-060,Manual Check,TODO,W06
COMP-SCR003-FLIGHT-FORM,COMPONENT,SCR-003,`/travel-tools`,-,P0,API-OUTBOUND-VALIDATION; DATA-SAFETY,REQ-FUNC-011; REQ-FUNC-012; REQ-FUNC-013; REQ-FUNC-014; REQ-FUNC-015; REQ-FUNC-016; REQ-FUNC-017; REQ-FUNC-018; REQ-FUNC-054; REQ-NF-017,"UNIT-TRAVEL-DATES, E2E-TRAVEL-TOOLS",TODO,W07
COMP-SCR003-HOTEL-FORM,COMPONENT,SCR-003,`/travel-tools`,-,P0,API-OUTBOUND-VALIDATION,REQ-FUNC-019; REQ-FUNC-020; REQ-FUNC-021; REQ-FUNC-022; REQ-FUNC-023; REQ-FUNC-024; REQ-FUNC-025; REQ-FUNC-026; REQ-NF-017,"UNIT-TRAVEL-DATES, E2E-TRAVEL-TOOLS",TODO,W08
COMP-SCR003-INTRO-TABS,COMPONENT,SCR-003,`/travel-tools`,-,P0,,,Manual Check,TODO,W07
COMP-SCR003-MATE-WRITE,COMPONENT,SCR-003,`/travel-tools`,-,P0,API-MATE-POSTS; API-CONTACT-DETECTION; AUTH-SUPABASE-SETUP; COMP-GLOBAL-POLICY-PAGES,REQ-FUNC-031; REQ-FUNC-032; REQ-FUNC-080,"UNIT-CONTACT-DETECTION, E2E-TRAVEL-TOOLS",TODO,W08
COMP-SCR003-TIPS,COMPONENT,SCR-003,`/travel-tools`,-,P1,COMP-SCR003-FLIGHT-FORM; COMP-SCR003-HOTEL-FORM,,Manual Check,TODO,W08
COMP-SCR004-APPLY,COMPONENT,SCR-004,`/mates`,-,P0,COMP-SCR004-DETAIL; API-MATE-APPLICATIONS; AUTH-SUPABASE-SETUP,REQ-FUNC-034; REQ-FUNC-036,"UNIT-MATE-STATE, E2E-MATE-AUTH",TODO,W10
COMP-SCR004-DETAIL,COMPONENT,SCR-004,`/mates`,-,P0,COMP-SCR004-LIST,REQ-FUNC-033,Manual Check,TODO,W09
COMP-SCR004-FILTER,COMPONENT,SCR-004,`/mates`,-,P0,API-MATE-POSTS,REQ-FUNC-030; REQ-NF-004,Manual Check,TODO,W09
COMP-SCR004-INTRO,COMPONENT,SCR-004,`/mates`,-,P1,,,Manual Check,TODO,W09
COMP-SCR004-LIST,COMPONENT,SCR-004,`/mates`,-,P0,COMP-SCR004-FILTER; API-MATE-POSTS,REQ-FUNC-033,Manual Check,TODO,W09
COMP-SCR004-REPORT-BLOCK,COMPONENT,SCR-004,`/mates`,-,P0,COMP-SCR004-DETAIL; API-BLOCK-REPORT,REQ-FUNC-039; REQ-FUNC-040,E2E-MATE-AUTH,TODO,W10
COMP-SCR004-SAFETY-CTA,COMPONENT,SCR-004,`/mates`,-,P1,,REQ-FUNC-054,Manual Check,TODO,W09
COMP-SCR004-STEPS,COMPONENT,SCR-004,`/mates`,-,P1,,,Manual Check,TODO,W09
COMP-SCR005-ADMIN,COMPONENT,SCR-005,`/account`,-,P0,API-BLOCK-REPORT; API-ADMIN-SETTINGS,REQ-FUNC-041; REQ-FUNC-077,Manual Check,TODO,W11
COMP-SCR005-AUTH,COMPONENT,SCR-005,`/account`,-,P0,AUTH-SUPABASE-SETUP,REQ-FUNC-066,E2E-MATE-AUTH,TODO,W11
COMP-SCR005-MY-ACTIVITY,COMPONENT,SCR-005,`/account`,-,P0,API-MATE-POSTS; API-BLOCK-REPORT; COMP-GLOBAL-FAVORITE-TOGGLE,REQ-FUNC-038; REQ-FUNC-040,Manual Check,TODO,W11
COMP-SCR005-PROFILE,COMPONENT,SCR-005,`/account`,-,P0,AUTH-SUPABASE-SETUP,REQ-FUNC-028; REQ-FUNC-029,Manual Check,TODO,W11
DATA-CONTENT-VALIDATION,DATA,-,-,-,P1,DATA-DESTINATIONS; DATA-SAFETY,REQ-FUNC-008; REQ-FUNC-046; REQ-FUNC-074; REQ-NF-026; REQ-NF-027,"CI-LINT-TYPECHECK-UNIT, RELEASE-CONTENT-QA",TODO,W02
DATA-DESTINATIONS,DATA,-,SCR-001,-,P0,,REQ-FUNC-007; REQ-FUNC-008; REQ-NF-006; REQ-NF-026,RELEASE-CONTENT-QA,TODO,W01
DATA-REPRESENTATIVE,DATA,-,SCR-002,-,P0,DATA-DESTINATIONS,REQ-FUNC-057; REQ-FUNC-058; REQ-FUNC-059; REQ-FUNC-060; REQ-FUNC-061; REQ-FUNC-063,RELEASE-CONTENT-QA,TODO,W02
DATA-SAFETY,DATA,-,SCR-001,-,P0,DATA-DESTINATIONS,REQ-FUNC-046; REQ-FUNC-047; REQ-FUNC-048; REQ-FUNC-052; REQ-FUNC-053; REQ-NF-027,RELEASE-CONTENT-QA,TODO,W02
DB-ACCESS,DB,-,-,-,P0,DB-SCHEMA-BASE; DB-RLS-BASE,,CI-LINT-TYPECHECK-UNIT,TODO,W03
DB-RLS-BASE,DB,-,-,-,P0,DB-SCHEMA-BASE,REQ-FUNC-044; REQ-NF-013,TEST-RLS-BASIC,TODO,W03
DB-SCHEMA-BASE,DB,-,-,-,P0,,REQ-FUNC-028; REQ-FUNC-029; REQ-FUNC-031; REQ-FUNC-034; REQ-FUNC-035; REQ-FUNC-036; REQ-FUNC-037; REQ-FUNC-038; REQ-FUNC-039; REQ-FUNC-040; REQ-FUNC-041; REQ-FUNC-077,CI-LINT-TYPECHECK-UNIT,TODO,W02
DB-SEED-BASE,DB,-,-,-,P1,DB-SCHEMA-BASE,,E2E-MATE-AUTH,TODO,W03
E2E-MATE-AUTH,E2E_TEST,SCR-004/005,"`/mates`,`/account`",-,P0,PAGE-SCR004; PAGE-SCR005,REQ-FUNC-027; REQ-FUNC-034; REQ-FUNC-036; REQ-FUNC-039; REQ-FUNC-040,E2E(CI),TODO,W13
E2E-PUBLIC-SMOKE,E2E_TEST,SCR-001/002,"`/`,`/about`",-,P0,PAGE-SCR001; PAGE-SCR002,REQ-FUNC-001; REQ-FUNC-004; REQ-FUNC-047; REQ-NF-024,E2E(CI),TODO,W12
E2E-TRAVEL-TOOLS,E2E_TEST,SCR-003,`/travel-tools`,-,P0,PAGE-SCR003,REQ-FUNC-011; REQ-FUNC-016; REQ-FUNC-019; REQ-FUNC-024,E2E(CI),TODO,W12
PAGE-SCR001,PAGE_OWNER,SCR-001,`/`,`src/app/page.tsx`,P0,COMP-SCR001-HERO; COMP-SCR001-DOMESTIC-GRID; COMP-SCR001-OVERSEAS-GRID; COMP-SCR001-THEME-CHIPS; COMP-SCR001-SAFETY-GRID; COMP-SCR001-MATE-PREVIEW; COMP-SCR001-ABOUT-TEASER; COMP-SCR001-DEST-DRAWER; COMP-SCR001-SAFETY-DRAWER; COMP-GLOBAL-HEADER-FOOTER; DATA-DESTINATIONS; DATA-SAFETY; DATA-REPRESENTATIVE,REQ-FUNC-001; REQ-FUNC-002; REQ-FUNC-003; REQ-FUNC-004; REQ-FUNC-005; REQ-FUNC-006; REQ-FUNC-007; REQ-FUNC-009; REQ-FUNC-010; REQ-FUNC-047; REQ-FUNC-050; REQ-FUNC-067; REQ-FUNC-068; REQ-FUNC-069,"E2E-PUBLIC-SMOKE, Manual Check",TODO,W05
PAGE-SCR002,PAGE_OWNER,SCR-002,`/about`,`src/app/about/page.tsx`,P0,COMP-SCR002-HERO; COMP-SCR002-STATS; COMP-SCR002-INTRO-PHILOSOPHY; COMP-SCR002-TIMELINE; COMP-SCR002-COUNTRY-CHIPS; COMP-SCR002-GALLERY; COMP-SCR002-RECOMMENDED; COMP-GLOBAL-HEADER-FOOTER; DATA-REPRESENTATIVE,REQ-FUNC-057; REQ-FUNC-058; REQ-FUNC-059; REQ-FUNC-060; REQ-FUNC-061; REQ-FUNC-063,"E2E-PUBLIC-SMOKE, Manual Check",TODO,W07
PAGE-SCR003,PAGE_OWNER,SCR-003,`/travel-tools`,`src/app/travel-tools/page.tsx`,P0,COMP-SCR003-INTRO-TABS; COMP-SCR003-FLIGHT-FORM; COMP-SCR003-HOTEL-FORM; COMP-SCR003-TIPS; COMP-SCR003-MATE-WRITE; COMP-GLOBAL-HEADER-FOOTER; API-OUTBOUND-VALIDATION; API-CONTACT-DETECTION; AUTH-SUPABASE-SETUP,REQ-FUNC-011; REQ-FUNC-012; REQ-FUNC-013; REQ-FUNC-014; REQ-FUNC-015; REQ-FUNC-016; REQ-FUNC-017; REQ-FUNC-018; REQ-FUNC-019; REQ-FUNC-020; REQ-FUNC-021; REQ-FUNC-022; REQ-FUNC-023; REQ-FUNC-024; REQ-FUNC-025; REQ-FUNC-026; REQ-FUNC-031; REQ-FUNC-032; REQ-FUNC-054; REQ-FUNC-080,"E2E-TRAVEL-TOOLS, UNIT-TRAVEL-DATES, UNIT-CONTACT-DETECTION",TODO,W08
PAGE-SCR004,PAGE_OWNER,SCR-004,`/mates`,`src/app/mates/page.tsx`,P0,COMP-SCR004-INTRO; COMP-SCR004-FILTER; COMP-SCR004-LIST; COMP-SCR004-DETAIL; COMP-SCR004-APPLY; COMP-SCR004-REPORT-BLOCK; COMP-SCR004-STEPS; COMP-SCR004-SAFETY-CTA; COMP-GLOBAL-HEADER-FOOTER; API-MATE-POSTS; API-MATE-APPLICATIONS; API-BLOCK-REPORT,REQ-FUNC-030; REQ-FUNC-033; REQ-FUNC-034; REQ-FUNC-036; REQ-FUNC-039; REQ-FUNC-040,"E2E-MATE-AUTH, Manual Check",TODO,W10
PAGE-SCR005,PAGE_OWNER,SCR-005,`/account`,`src/app/account/page.tsx`,P0,COMP-SCR005-AUTH; COMP-SCR005-PROFILE; COMP-SCR005-MY-ACTIVITY; COMP-SCR005-ADMIN; COMP-GLOBAL-HEADER-FOOTER; AUTH-SUPABASE-SETUP; API-MATE-POSTS; API-BLOCK-REPORT; API-ADMIN-SETTINGS,REQ-FUNC-027; REQ-FUNC-028; REQ-FUNC-029; REQ-FUNC-038; REQ-FUNC-041; REQ-FUNC-066; REQ-FUNC-077,"E2E-MATE-AUTH, Manual Check",TODO,W11
RELEASE-A11Y-MANUAL,RELEASE_CHECK,-,전역,-,P1,COMP-GLOBAL-A11Y,REQ-NF-025,Manual Check,TODO,W13
RELEASE-CONTENT-QA,RELEASE_CHECK,-,SCR-001,-,P0,DATA-CONTENT-VALIDATION,REQ-FUNC-008; REQ-FUNC-046; REQ-FUNC-074; REQ-NF-026; REQ-NF-027,Manual Check,TODO,W14
RELEASE-COST-CHECK,RELEASE_CHECK,-,-,-,P2,,REQ-NF-034,Manual Check,TODO,W14
RELEASE-PERFORMANCE-CHECK,RELEASE_CHECK,-,전역,-,P1,PAGE-SCR001; PAGE-SCR002; PAGE-SCR003; PAGE-SCR004; PAGE-SCR005,REQ-NF-001; REQ-NF-002; REQ-NF-003; REQ-NF-004; REQ-NF-005; REQ-NF-006; REQ-NF-019,Manual Check,TODO,W13
RELEASE-SEO-CHECK,RELEASE_CHECK,-,전역,-,P2,COMP-GLOBAL-SEO,REQ-FUNC-070; REQ-NF-030,Manual Check,TODO,W14
RELEASE-VERCEL-SUPABASE-CHECK,RELEASE_CHECK,-,-,-,P0,SEC-BASELINE; DB-ACCESS,REQ-NF-012; REQ-NF-016,Manual Check,TODO,W14
SEC-BASELINE,SEC,-,전역,-,P0,DB-ACCESS,REQ-NF-014; REQ-NF-015; REQ-NF-016,"CI-LINT-TYPECHECK-UNIT, RELEASE-VERCEL-SUPABASE-CHECK",TODO,W03
TEST-RLS-BASIC,RLS_TEST,-,-,-,P0,DB-RLS-BASE,REQ-FUNC-044; REQ-NF-013,Unit(CI),TODO,W04
UNIT-CONTACT-DETECTION,UNIT_TEST,-,SCR-003,-,P0,API-CONTACT-DETECTION,REQ-FUNC-032,Unit(CI),TODO,W12
UNIT-MATE-STATE,UNIT_TEST,-,SCR-004,-,P0,API-MATE-APPLICATIONS; API-MATE-POSTS,REQ-FUNC-035; REQ-FUNC-036; REQ-FUNC-037,Unit(CI),TODO,W12
UNIT-TRAVEL-DATES,UNIT_TEST,-,SCR-003,-,P0,COMP-SCR003-FLIGHT-FORM; COMP-SCR003-HOTEL-FORM,REQ-FUNC-013; REQ-FUNC-021,Unit(CI),TODO,W12
